SDSS J000013.54+255418.6 [de]	Pegasus	0h 0m 13.54s	25° 54′ 18″		46.1	T4.5	48	0.99	2004
2MASS J08283419-1309198									
2MASS J00040288-6410358	Tucana	0h 4m 2.88s	−64° 10′ 35.8″		192	L1γ	19	1.63	
LHS 102BC	Phoenix	0h 4m 34.84s	−40° 44′ 5.8″			L5			2002
2MASS J00242463-0158201	Pisces	0h 24m 24.63s	−1° 58′ 20.1″		37.7	M9.5	79	1.09	
2MASS J00250365+4759191AB	Cassiopeia	0h 25m 3.65s	47° 59′ 19.1″		143	L4			
2MASS J00274197+0503417	Pisces	0h 27m 41.97s	5° 3′ 41.7″		236	M9.5β	31	1.44	
2MASS J00275592+2219328	Andromeda	0h 27m 55.92s	22° 19′ 32.8″		46.9	M8			
2MASSW J0030300-145033	Cetus	0h 30m 30.13s	−14° 50′ 33.3″		87.2	L7	54	0.98	n/a
2MASS J00332386-1521309 [de]	Cetus	0h 33m 23.86s	−15° 21′ ″		131	L1-L4β	29	1.43	n/a
2MASS J00345157+0523050	Pisces	0h 34m 51.57s	5° 23′ 5″		31	T6.5	42	0.94	n/a
2MASS 0036+1821	Pisces	0h 36m 16.17s	18° 21′ 10.4″	12.47	28.6	L3.5	42	0.94	2000
2MASSW J0045214+163445	Pisces	0h 45m 21.43s	16° 34′ 44.6″		57	L2β	23	1.62	n/a
WISEP J004701.06+680352.1 [fr]	Cassiopeia	0h 47m 0.38s	68° 3′ 54.3″		40	L7.5p	12	1.3	n/a
2MASS J00501994-3322402 [de]	Sculptor	0h 50m 19.94s	−33° 22′ 40.2″		34	T7	40	0.94	n/a
2MASS J00034227-2822410	Sculptor	0h 55m 39.72s	−28° 22′ 42″			M7.5			n/a
2MASS J00584253-0651239 [de]	Cetus	0h 58m 42.53s	−6° 51′ 23.9″		96	L0β	29	1.43	n/a
CFBDS J005910.90–011401.3	Cetus	0h 59m 10.83s	−1° 14′ 1.3″	18.08	30	T8.5	23		2013
2MASSI J0103320+193536	Pisces	1h 3m 32.03s	19° ′ 35″		70	L6β	52	0.98	
SDSSp J010752.33+004156.1 [de]	Cetus	1h 7m 52.42s	−0° 41′ 56.3″		51	L8	52	0.98	
2MASSI J0117474-340325 [de]	Sculptor	1h 17m 47.48s	−34° 3′ 25.8″		163	L2:	20	1.62	
2MASS J01415823-4633574 [de]	Phoenix	1h 41m 58.23s	−46° 33′ 57.4″		130	L0γ	20	1.61	
SDSS J015141.69+124429.6		1h 51m 41.55s	12° 44′ 30″		70	T1	47	0.97	
DENIS-P J020529.0−115925A	Cetus	2h 5m 29.401s	−11° 59′ 29.67″		65	L5.5			1997
DENIS-P J020529.0−115925B	Cetus	2h 5m 29.401s	−11° 59′ 29.67″		65	L8			1997
DENIS-P J020529.0−115925C	Cetus	2h 5m 29.401s	−11° 59′ 29.67″		65	T0			1997
